254767,Contigo pan y cebolla,1996
254787,Contigo,1988
254799,Continuarà...,1996
255471,Contraportada,1998
256543,Coplas de verano,1996
256960,Corazonada,1989
256974,Corazón de...,1997
259778,Corazón,1989
259780,"Corazón, corazón",1993
269459,Cosas de dos,1984
269517,Cosas que importan,1999
269545,Cosas,1980
269781,Coses de la vida,1999
270039,Costeira galega,1985
270048,Così cosà,1996
276971,Coup de foudre,1988
277367,Cousas da lingua,1990
278312,Crack!,1996
280026,Cremallera,1984
282223,"Cristina, amiga mía",1999
282464,Crocante,1990
284690,Cruce de caminos,1998
285193,Crònica d'avui,1999
285212,Crònica negra,1988
285226,Cròniques de la veritat oculta,1996
285243,Crónica joven,1988
285253,Crónicas del mal,1992
285269,Crónicas marcianas,1997
286391,Crónicas urbanas,1991
287376,Cuadrilátero,1988
287587,Cuarto creciente,1989
287647,Cuarto y mitad,1976
288090,Cuentos imposibles,1984
288097,Cuentos interruptus,1995
288161,Cuerda de presos,1996
288776,Cultura 2,1975
288939,Cultural informativo,1975
289632,Curro Jiménez,1976
289712,Curso del 99,1999
290130,Cuánto cuesta,1999
290138,Cuéntame cómo pasó,1995
290618,Cyberclub,1997
291067,Cámara baja,1993
291126,Código Alfa,1998
291339,Código uno,1993
291345,Cómicos,1987
291400,D'Artacan y los tres mosqueperros,1981
300494,Dark Justice,1991
303826,Das Sahara-Projekt,1993
305878,Date un respiro,1993
307096,David el gnomo,1985
314246,De ahora en adelante,1981
314638,De carne y hueso,1991
314644,De cerca,1980
315011,De domingo a domingo,1997
315694,De jueves a jueves,1986
316295,De la mano de,1985
316499,"De lo bueno, lo mejor",1995
316500,"De los buenos, el mejor",1996
316550,De mar a mar,1991
316649,De moda,1986
316937,De par en par,1991
317029,De película,1982
317069,De perfil,1989
317154,De professió: A.P.I.,1988
317328,De siete en siete,1985
317708,De tal Paco tal astilla,1997
317713,De tal palo,1992
317727,De todo corazón,1996
317729,De toros,1989
317731,De tres en tres,1998
317828,De tú a tú,1990
322405,Debate,1987
322406,Debates electorales 1996,1996
325228,Del 40 al 1,1990
325245,Del Miño al Bidasoa,1990
325266,Delfy y sus amigos,1992
325272,Deliciosamente absurdos,1983
325339,Delirios de amor,1989
326986,DeMúsiKa TV,1999
328405,Dentro de un orden,1983
328545,Deporte para todos,1981
332407,Derecho a discrepar,1988
333041,Desayuna con alegría,1991
333259,Descúbreme,1997
333263,Desde Galicia para el mundo,1993
333278,Desde Palma con amor,1991
333684,Desesperado club social,1999
335878,Destino Argentina,1978
335891,Destino Plutón,1980
336342,Detective Bogey,1994
336664,Detrás de la noticia,1990
337154,Devórame otra vez,1991
337398,Dezine,1998
338460,Diario de sesiones,1985
338783,Diccionario de la salud,1988
338784,Dicciopinta,1990
348749,Die zweite Heimat - Chronik einer Jugend,1992
349221,Digan lo que digan,1997
349958,"Digui, digui",1984
350157,"Dilluns, dilluns",1988
350673,Dinamo,1985
350935,Ding-Dong,1980
351890,Directo elecciones,1996
351891,Directo en la noche,1986
351894,"Directo, directo",1994
351914,Directísimo,1975
354955,Disperatamente Giulia,1989
358059,Diálogos de un matrimonio,1982
358526,"Do, re, mi",1998
358535,Dobles parejas,1996
359780,"Doctor Caparrós, metge de poble",1982
363693,Documentos TV,1986
366340,Domingo en rojo,1990
366365,Domingueros,1989
366447,Domini públic,1997
366541,Don Baldomero y su gente,1982
366672,Don Juan,1997
366865,Don Quijote de la Mancha,1978
366872,Don Rock,1990
367825,Dones d'aigua,1997
368636,Dora Dora,1994
369212,Dos cadenas para tí,1990
369400,Dos por dos,1978
369473,Dos és massa,1996
369518,Dossier,1978
371353,"Dr. Caparrós, medicina general",1979
373558,Dr. Zitbag's Transylvania Pet Shop,1994
377666,Dret a parlar,1993
378606,Drug Wars: The Camarena Story,1990
380684,Duplex,1993
380954,Duros y reales,1990
382211,Día a día,1996
383704,Días de cine,1991
384451,Dúplex per llogar,1986
392723,Edición de tarde,1996
392873,Educar hoxe,1998
393345,Efecto F,1997
396527,El actor y sus personajes,1981
396543,El alambique,1989
396618,El arte de vivir,1982
396727,El baile,1985
396789,El bigote de Babel,1987
397069,El campo,1975
397071,El cangur,1994
397091,El canto de un duro,1978
397092,El capitá enciam,1994
397109,El carro de la farsa,1980
397358,El chou,1994
397373,El clima y las cuatro estaciones,1994
397423,El club de la comedia,1999
397561,El club de los listillos,1996
398289,El coleccionismo y los coleccionistas,1979
398294,El comisario,1999
398692,El concurs dels tres dragons,1981
398695,El concursazo,1997
398717,El consultorio de la Dra. Delgado,1995
399109,El coraje de vivir,1994
399156,El cronómetro,1999
399519,El debate de hoy,1995
399724,El destino en sus manos,1995
399738,El desván del trasgo,1997
400919,El domin... gol,1997
400923,El domingo es nuestro,1986
400930,El día después,1990
400977,El día por delante,1989
400980,El día que me quieras,1994
400995,El edén,1984
400999,El edén,1987
401091,El escarabajo verde,1997
401372,El español y los siete pecados capitales,1980
401387,El espejo mágico,1985
401528,El flechazo,1997
401648,El friqui,1994
401650,El gallinero,1997
401956,El gordo,1990
401977,El gran circo de Telecinco,1993
402032,El gran concurso del siglo,1999
402038,El gran juego de la oca,1993
402157,El hayedo de Montejo,1994
402237,El hombre y la tierra: Serie canadiense,1980
402639,El hotel de las mil y una estrellas,1978
402655,El imperdible,1997
402692,El informal,1998
403560,El informe del día,1992
403862,El jarama,1994
403863,El jardín de Venus,1983
403874,El joc de viure,1997
403923,El joc del segle,1991
404007,El joven Picasso,1993
404021,El juego de los errores,1982
404023,El juego del euromillón,1998
404942,El juglar y la reina,1978
404975,El kanguro de A3Z,1997
405068,El kiosco,1984
405107,El lector,1994
405140,El libro gordo de Petete,1981
405192,El loco mundo de los payasos,1982
405222,El mar y el tiempo,1987
405232,El martes que viene,1990
405245,El mayorazgo de Labraz,1983
405254,El menú de cada día,1992
405255,El menú de Karlos Arguiñano,1994
405484,El menú del día,1991
405515,El mirall,1990
405541,El monstruo de Sanchezstein,1977
405563,El mundo de Juan Lobón,1989
405567,El mundo de la música,1976
405568,El mundo de la televisión,1975
405705,El mundo es nuestro,1986
405899,El món d'Ariadna,1997
406004,El nuevo espectador,1989
406024,El obispo leproso,1990
406064,El olivar de Atocha,1988
406093,El orgullo del tercer mundo,1995
406096,El otro arbol de Guernica,1977
406296,El peor programa de la semana,1993
406304,El perro verde,1988
406400,El precio justo,1988
407020,El primer café,1996
407983,El primijuego,1989
408740,El programa de Ana,1994
408741,El programa de Carlos Herrera,1996
408746,El programa de Hermida,1991
408810,El puente,1997
408887,El pèndol,1997
408927,El Quijote de Miguel de Cervantes,1991
408934,El quinto jinete,1975
408955,El rastrillo,1995
408976,El recreo,1977
408997,El regreso de una leyenda,1995
409009,El rescate del talismán,1991
409047,El retonno,1994
409050,El retorno de D'Artacan,1990
409567,El rondo,1999
410014,El ruedo,1989
410034,El salero,1990
410048,El secreto de la porcelana,1999
410381,El semáforo,1995
410442,El sexólogo,1994
410513,El señor Villanueva y su gente,1979
410521,El señorío de Larrea,1999
410810,El show de la Diana,1997
410825,El show de la una,1992
410964,El supergordo,1993
410968,El supertren,1991
410975,El séptimo cielo,1989
410988,El séptimo de caballería,1998
411082,El súper,1996
411670,El tercer grado,1997
411910,El tiempo en que vivimos,1989
411931,El tiempo es oro,1987
411948,"El tiempo pasa, corazón",1999
411955,El Tigre de Siberia,1999
412007,El trampolín,1994
412021,El tren,1982
412023,El turista habitual,1993
412123,El viatge,1987
412138,El xou de la família Pera,1983
412241,El ángel caído,1991
412256,El último verano,1999
412464,Eldíaquemeentiendas,1996
414413,Ellas son así,1999
416186,Els Grau,1991
422308,Empléate a fondo,1996
423161,En antena,1997
423516,En buena hora,1990
423519,En buenas manos,1994
423592,En casa con Raffaella,1995
423674,En clave actual,1999
423675,En color,1982
423794,"En directe, Mari Pau",1998
423833,En directo contigo,1995
423870,En el candelabro,1999
423874,En escena: 100 anys de teatre català,1985
423891,En este país,1981
423896,En exclusiva,1997
423901,En familia,1987
423982,En la cuerda floja,1985
423986,En la naturaleza,1987
423993,En los límites de la realidad,1993
423996,En marcha,1985
424228,En otras palabras,1997
424526,En paralelo,1982
424538,En plena forma,1997
424731,En xogo,1996
424812,Encantada de la vida,1993
424853,Encantados de conocerte,1992
424871,Encontros,1986
425021,Encuentros con las letras,1976
425040,Encuentros en libertad,1982
425472,Enfoques,1988
426124,"Enric, parada i fonda",1985
426138,Enrédate,1999
426304,Enróllate,1995
428916,Entre a terra e a lúa,1999
428918,Entre amigos,1985
428969,Entre dos fuegos,1998
428983,Entre líneas,1988
428985,Entre línies,1998
429097,Entre Morancos y Omaitas,1997
429126,Entre naranjos,1998
429132,Entre nós,1986
429158,Entre platos anda el juego,1991
429185,Entre tú y yo,1997
429264,Entrevista con...,1995
430017,Epílogo,1998
431797,Esa clase de gente,1990
431842,Escala internacional,1978
431851,"Escalera interior, escalera exterior",1986
432132,Escenari,1978
432337,Escrito en América,1979
432492,Escrito para TV,1984
432536,Escuela de salud,1975
432537,Escuela del deporte,1999
432872,Eskualdeak,1987
432909,Esos locos bajitos,1998
432935,Espacio aberto,1988
433473,España... y a por todas,1994
433475,Españoles en el Pacífico,1980
433476,Españoles,1983
