17289,"Akhmedov, Yakub",m,,
17760,"Akka, Hassan",m,,
17920,"Akopyan, Ashot",m,,
17997,"Akramov, Bakhram",m,,
19201,"Alabiso, Eugenio",m,,
19221,"Alacid, José Antonio",m,,
19244,"Aladren, Andrés",m,,
19248,"Aladro, Carlos",m,,
19249,"Aladro, Rafael",m,,
19479,"Alameda, Mariano",m,"Madrid, Madrid, Spain",2 June 1975
19523,"Alamo, Walter",m,,
19595,"Alan, Gil",m,,
19825,"Alarcón, Alexandro",m,,
19832,"Alarcón, Dani",m,,
19837,"Alarcón, Denis",m,,
19840,"Alarcón, Enrique",m,"Campo de Criptana, Ciudad Real, Spain",13 June 1917
19854,"Alarcón, José",m,,
19855,"Alarcón, José María",m,,
19865,"Alarcón, Mario",m,,
19869,"Alarcón, Pedro",m,,
19909,"Alarios, Juan Carlos",m,,
20130,"Alba, Alfredo",m,,
20139,"Alba, Carlos",m,,
20140,"Alba, Charly",m,,
20171,"Alba, Juan",m,"Campinas, São Paulo, Brazil",6 April 1965
20180,"Alba, Luis",m,,
20202,"Alba, Santiago",m,,
20208,"Alba, Tomás",m,,
20217,"Albacete, Alfonso",m,"Murcia, Spain",1963
20219,"Albacete, Javier",m,,
20230,"Albadalejo, Jose Antonio",m,,
20240,"Albaicín, Rafael",m,"Madrid, Spain",5 June 1919
20253,"Albaladejo, Daniel",m,"Cartagena, Murcia, Spain",23 December 1971
20256,"Albaladejo, Miguel",m,"Alacant, Alacant, Comunitat Valenciana, Spain",20 August 1966
20263,"Albalat, Fernando",m,,
20267,"Albalá, Javier",m,"Genève, Switzerland",5 April 1969
20369,Albano,m,"Cellino San Marco, Puglia, Italy",20 May 1943
20428,"Albarracin, Juan Maria",m,,
20445,"Albarrán, Josep Ricard",m,,
20452,"Albarrán, Víctor",m,,
20528,"Albeniz, Jaione",m,,
20573,"Alberich, Enric",m,,
20599,"Albero, Raúl",m,,
20601,"Alberola, Alfredo",m,,
20602,"Alberola, Carles",m,"Alzira, València, Comunitat Valenciana, Spain",1964
20604,"Alberola, Francisco",m,,
20606,"Alberola, Quico",m,,
20682,"Albert, Antonio",m,"Alacant, Alacant, Comunitat Valenciana, Spain",1966
20723,"Albert, Edward",m,"Los Angeles, California, USA",20 February 1951
20775,"Albert, José",m,,
20862,"Albert, Tony",m,,
20871,"Albert, Óscar",m,,
20901,"Alberti, Guido",m,"Benevento, Campania, Italy",20 August 1909
20913,"Alberti, Rafael",m,"Puerto de Santa María, Cádiz, Andalucía, Spain",16 December 1902
20917,"Alberti, Sergio",m,,
20936,"Albertini, Bitto",m,"Turin, Piedmont, Italy",14 July 1924
20955,Alberto,m,,
21001,"Alberto, Eliseo",m,"Arroyo Naranjo, Cuba",10 September 1951
21015,"Alberto, Jaime",m,,
21041,"Alberto, Manuel",m,,
21043,"Alberto, Mário",m,,
21208,"Albiach, José",m,,
21263,"Albinus, Jens",m,"Bogense, Denmark",3 January 1965
21265,"Albiol, Ferran",m,,
21266,"Albiol, Francesc",m,"Barcelona, Barcelona, Catalonia, Spain",1957
21279,"Albistur, Xabier",m,,
21280,"Albisu, Miguel Ángel",m,,
21281,"Albisu, Mikel",m,"Algusta, Vizcaya, Pais Vasco, Spain",1 April 1939
21287,"Albizu, Fernando",m,"Vitoria-Gasteiz, Álava, País Vasco, Spain",21 September 1963
21295,"Albiñana, Ricardo",m,,
21317,"Albor, Gerardo Fernández",m,"Santiago de compostela, A Coruña, Galicia, Spain",7 September 1917
21318,"Alborch, Francesc",m,,
21319,"Alborch, Paco",m,,
21326,"Albornoz, Claudio Sánchez",m,,
21333,"Albornoz, Luciano",m,,
21343,"Albors, José",m,,
21589,"Albulescu, Mircea",m,"Bucharest, Romania",4 October 1932
21670,"Alcaide, Jesús",m,,
21677,"Alcaine, José Luis",m,"Tangier, Morocco",26 December 1938
21708,"Alcalde, Carlos",m,,
21709,"Alcalde, David",m,,
21734,"Alcalá, Xavier",m,"Miguelturra, Ciudad Real, Castilla La Mancha, Spain",1947
21812,"Alcaraz, Blás",m,,
21816,"Alcaraz, Eduardo",m,"Santiago, Chile",13 April 1915
21820,"Alcaraz, Hermenegildo",m,,
21831,"Alcaraz, Julio",m,,
21859,"Alcarraz, Roberto",m,,
21890,"Alcaín, Alfredo",m,,
21934,"Alcides, Enrique",m,Spain,13 January 1975
21949,"Alcoba, Juan Antonio",m,,
21953,"Alcobendas, José Luis",m,,
21954,"Alcobendas, Miguel",m,,
21975,"Alcocer, Víctor",m,"Merida, Yucatan, Mexico",23 March 1917
22009,"Alcoriza, Luis",m,"Badajoz, Extremadura, Spain",5 September 1918
22036,"Alcorta, Javier",m,,
22047,"Alcott, John",m,"London, England, UK",1931
22088,"Alcántara, Carmelo",m,,
22090,"Alcántara, Dídac",m,,
22096,"Alcántara, Juan",m,,
22099,"Alcántara, Manuel",m,,
22109,"Alcázar, Damián",m,"Jiquilpan, Michoacan, Mexico",8 January 1953
22110,"Alcázar, Eduard",m,,
22111,"Alcázar, Eduardo",m,,
22113,"Alcázar, Jorge",m,,
22116,"Alcázar, Julio",m,,
22118,"Alcázar, Pedro",m,,
22119,"Alcázar, Pepe",m,,
22123,"Alcázar, Víctor",m,,
22125,"Alcázar, Ángel",m,Spain,29 May 1955
22133,"Alcíbar, Miguel",m,"Sevilla, Andalucía, Spain",5 August 1962
22134,"Alcón, Alfredo",m,"Ciudadela, Tres de Febrero, Buenos Aires, Argentina",3 March 1930
22178,"Aldana, Adolfo",m,,
22179,"Aldana, Alejandro",m,,
22214,"Aldanondo, Xavier",m,,
22237,"Aldasoro, Juan Bautista",m,,
22241,"Aldavert, Josep M.",m,,
22246,"Aldaz, Fermín",m,,
22265,"Aldecoa, Manuel",m,,
22267,"Aldecoa, Íñigo",m,,
22383,"Alderbaldetreku, Aitor",m,,
22761,"Aldán, Eduardo",m,"Portugalete, Vizcaya, Spain",28 June 1973
22807,"Aledo, Iván",m,,
22834,"Alegre, Alfredo",m,,
22843,"Alegre, Francisco",m,,
22846,"Alegre, Juan Carlos",m,,
22847,"Alegre, Lluís",m,,
22848,"Alegre, Luis",m,"Lechago, Teruel, Aragón, Spain",1962
22849,"Alegre, Luis Felipe",m,,
22853,"Alegre, Oscar",m,,
22854,"Alegre, Paco",m,,
22883,"Alegria, Ugaitz",m,,
22886,"Alegro, Arturo",m,,
22888,"Alegría, Alonso",m,,
22948,"Alejandro, Edesio",m,,
22961,"Alejandro, Juan",m,,
22962,"Alejandro, Julio",m,"Huesca, Arágon, Spain",1906
22968,"Alejandro, Manuel",m,"Jerez de la Frontera, Cádiz, Andalucía, Spain",1933
23043,"Aleksandrov, Aleksandr",m,,
23098,"Aleksanyan, Artashes",m,"Yerevan, Armenia, USSR",17 July 1961
23171,"Aleksic, Slobodan",m,"Temska, near Pirot, Serbia",23 August 1935
23222,"Aleman, Ciade Shas",m,,
23237,"Aleman, Liaran Tess",m,,
23256,"Alemany, Anton",m,,
23289,"Alemán, Carlos",m,,
23296,"Alemán, Julio",m,"Morelia, Michoacan, Mexico",29 November 1933
23310,"Alen, Eduard",m,,
23336,"Alenda, José Esteban",m,,
23427,"Alessandrin, Patrick",m,,17 May 1965
23430,"Alessandrini, Raymond",m,"Koblenz, Germany",1948
23439,"Alessandro, Bruno",m,"Sant'Agostino, Ferrara, Emilia Romagna, Italy",27 December 1935
23452,"Alessandroni, Alessandro",m,"Rome, Lazio, Italy",16 March 1925
23517,"Aleu, Franc",m,,
24485,"Alexander, Nick",m,,
24889,"Alexandre, Homar",m,,
24897,"Alexandre, José Luis",m,,
24904,"Alexandre, Manuel",m,"Madrid, Spain",11 November 1917
25116,Alexis,m,,
25128,"Alexis, Andrés",m,,
25203,"Alez, Mario",m,,
25298,"Alfaro, Marcelo",m,Argentina,11 February 1963
25312,"Alfaro, Txumari",m,,
25321,"Alfaya, Javier",m,,
25423,"Alfonso, Alfredo",m,,
25427,"Alfonso, Antonio",m,,
25432,"Alfonso, Bonifacio",m,,
25442,"Alfonso, Gerardo",m,,
25448,"Alfonso, Javier",m,,
25454,"Alfonso, José",m,,
25460,"Alfonso, Julio M.",m,,
25510,"Alfonzo, José Luis",m,"San Luis, Argentina",1961
25675,"Alférez, Miguel",m,,
25770,"Algora, Francisco",m,"Madrid, Spain",7 December 1948
25771,"Algora, Germán",m,,
25799,"Algueró, Augusto",m,,1906
25800,"Algueró, Augusto",m,"Barcelona, Barcelona, Catalonia, Spain",23 February 1934
25834,"Alhama, Edgar",m,,
26379,"Alia, Juanjo",m,,
26383,"Aliaga, Adán",m,"Alacant, Alacant, Comunitat Valenciana, Spain",1963
26388,"Aliaga, Ignacio",m,,
26395,"Aliaga, Ricardo",m,,
26418,"Alias, José",m,,
