314644,1980-1981
315011,1997-1998
315694,1986-????
316295,1985-????
316499,1995-????
316500,1996-????
316550,1991-????
316649,1986-????
316937,1991-1992
317029,1982-1990
317069,1989-????
317154,1988-1990
317328,1985-1987
317708,1997-????
317713,1992-????
317727,1996-????
317729,1989-????
317731,1998-????
317828,1990-1993
322405,1987-????
322406,1996-????
325228,1990-????
325245,1990-????
325266,1992-????
325272,1983-????
325339,1989-????
326986,1999-????
328405,1983-1986
328545,1981-????
332407,1988-????
333041,1991-1993
333259,1997-????
333263,1993-????
333278,1991-1992
333684,1999-2002
335878,1978-????
335891,1980-????
336342,1994-????
336664,1990-1991
337154,1991-????
337398,1998-????
338460,1985-1986
338783,1988-1989
338784,1990-????
348749,1992-????
349221,1997-1999
349958,1984-????
350157,1988-1989
350673,1985-1986
350935,1980-????
351890,1996-????
351891,1986-????
351894,1994-????
351914,1975-1976
354955,1989-????
358059,1982-????
358526,1998-????
358535,1996-????
359780,1982-1982
363693,1986-????
366340,1990-????
366365,1989-????
366447,1997-1998
366541,1982-????
366672,1997-????
366865,1978-????
366872,1990-????
367825,1997-1998
368636,1994-????
369212,1990-????
369400,1978-????
369473,1996-????
369518,1978-????
371353,1979-1979
373558,1994-????
377666,1993-????
378606,1990-????
380684,1993-????
380954,1990-????
382211,1996-2004
383704,1991-????
384451,1986-????
392723,1996-????
392873,1998-????
393345,1997-????
396527,1981-1982
396543,1989-????
396618,1982-1987
396727,1985-????
396789,1987-????
397069,1975-1976
397071,1994-????
397091,1978-1981
397092,1994-????
397109,1980-1983
397358,1994-????
397373,1994-????
397423,1999-2005
397561,1996-????
398289,1979-????
398294,1999-2009
398692,1981-????
398695,1997-1998
398717,1995-????
399109,1994-????
399156,1999-????
399519,1995-????
399724,1995-????
399738,1997-????
400919,1997-????
400923,1986-1987
400930,1990-2005
400977,1989-1990
400980,1994-1995
400995,1984-????
400999,1987-????
401091,1997-????
401372,1980-????
401387,1985-1986
401528,1997-1998
401648,1994-1995
401650,1997-????
401956,1990-1992
401977,1993-????
402032,1999-????
402038,1993-1998
402157,1994-????
402237,1980-????
402639,1978-1979
402655,1997-1998
402692,1998-2002
403560,1992-????
403862,1994-????
403863,1983-1984
403874,1997-????
403923,1991-1993
404007,1993-????
404021,1982-1983
404023,1998-2001
404942,1978-1979
404975,1997-1999
405068,1984-1987
405107,1994-1996
405140,1981-1983
405192,1982-????
405222,1987-1988
405232,1990-????
405245,1983-????
405254,1992-1993
405255,1994-1995
405484,1991-????
405515,1990-????
405541,1977-1978
405563,1989-????
405567,1976-1980
405568,1975-1976
405705,1986-1987
405899,1997-????
406004,1989-1990
406024,1990-????
406064,1988-1989
406093,1995-????
406096,1977-????
406296,1993-1994
406304,1988-????
406400,1988-????
407020,1996-2003
407983,1989-1995
408740,1994-1996
408741,1996-1998
408746,1991-1992
408810,1997-????
408887,1997-1998
408927,1991-????
408934,1975-????
408955,1995-????
408976,1977-1978
408997,1995-????
409009,1991-1994
409047,1994-????
409050,1990-????
409567,1999-2006
410014,1989-1990
410034,1990-1991
410048,1999-????
410381,1995-1999
410442,1994-????
410513,1979-????
410521,1999-????
410810,1997-????
410825,1992-1993
410964,1993-????
410968,1991-????
410975,1989-1990
410988,1998-1999
411082,1996-1999
411670,1997-2004
411910,1989-????
