"1694295,2067585,actress,""Carla, aerobics instructor"","
1694298,1712361,actress,,
1694298,1991670,actress,,
1694301,2032011,actress,,
1694309,1998279,actress,,
1694349,2117150,actress,Guerrillera urbana,
1694358,1997742,actress,Sirvienta,
1694374,2465540,actress,,(voice)
1694382,1770250,actress,,
1694383,1997068,actress,,
1694383,789459,actress,Lola,(1988-1989)
1694463,2244635,actress,Mujer Centro Social,
1694463,2454918,actress,Cuñada,
1694521,52376,actress,Herself,
1694569,1698224,actress,,
1694585,351890,actress,Herself,
1694585,399519,actress,Herself,
1694599,1628125,actress,Locutora,
1694599,1630321,actress,Segunda Alicia,
1694599,1648741,actress,Nieves,
1694599,1675868,actress,Maryse,
1694599,1728213,actress,,
1694599,1749286,actress,Victoria,
1694599,1793707,actress,Rosa,
1694599,1810779,actress,Inés,
1694599,1810923,actress,Mónica,
1694599,1813176,actress,,
1694599,1815050,actress,Erika,
1694599,1822109,actress,Virginia Nardini,
1694599,1903489,actress,Irene,
2634232,2032004,cinematographer,,
2634232,2055918,cinematographer,,
2634243,1627426,cinematographer,,
2634396,1731738,cinematographer,,
2634493,1987298,cinematographer,,
2634493,1989015,cinematographer,,
2634544,1710849,cinematographer,,
6504,1714668,cinematographer,,
6504,2002156,cinematographer,,(director of photography)
6504,2087852,cinematographer,,
9671,1905728,cinematographer,,
2634866,1717074,cinematographer,,
2634959,2033804,cinematographer,,(director of photography)
2635052,2005479,cinematographer,,
12858,1724301,cinematographer,,
12858,1941512,cinematographer,,
2635156,1845898,cinematographer,,
13885,1596024,cinematographer,,(as Xabier Aguirresarobe)
13885,1600066,cinematographer,,
13885,1625486,cinematographer,,
13885,1626356,cinematographer,,
13885,1646782,cinematographer,,
13885,1648730,cinematographer,,
13885,1676114,cinematographer,,
13885,1683223,cinematographer,,
13885,1707610,cinematographer,,
13885,1793717,cinematographer,,
13885,1803736,cinematographer,,
13885,1810615,cinematographer,,
13885,1813177,cinematographer,,
13885,1813713,cinematographer,,
13885,1814493,cinematographer,,
13885,1814529,cinematographer,,(as Xabier Aguirresarobe)
13885,1814705,cinematographer,,
13885,1815579,cinematographer,,
13885,1815657,cinematographer,,
13885,1820709,cinematographer,,
13885,1832373,cinematographer,,
13885,1858281,cinematographer,,
13885,1875275,cinematographer,,
13885,1882324,cinematographer,,
13885,1885389,cinematographer,,
13885,1924702,cinematographer,,
13885,1924703,cinematographer,,
13885,1924704,cinematographer,,
13885,1924705,cinematographer,,
13885,1924706,cinematographer,,
13885,1924707,cinematographer,,
13885,1924708,cinematographer,,
13885,1939887,cinematographer,,
13885,1940486,cinematographer,,
13885,1990834,cinematographer,,
13885,1990866,cinematographer,,
13885,1991830,cinematographer,,
13885,1992620,cinematographer,,
13885,1992800,cinematographer,,
13885,1993947,cinematographer,,
13885,1994419,cinematographer,,
13885,2005805,cinematographer,,
13885,2032006,cinematographer,,
13885,2051462,cinematographer,,
13885,2100611,cinematographer,,
13885,2113636,cinematographer,,
13885,2134540,cinematographer,,
13885,2157634,cinematographer,,
13885,2174316,cinematographer,,
13885,2216937,cinematographer,,
13885,2379750,cinematographer,,
