CO,2008-10-25,40,NAS,44
WN,2008-10-27,41,NAS,9
WN,2008-10-27,42,NAS,7
B6,2008-10-26,42,NAS,4
DL,2008-10-27,44,NAS,17
UA,2008-10-27,44,NAS,11
US,2008-10-25,44,NAS,34
US,2008-10-27,44,NAS,6
WN,2008-10-26,45,NAS,15
UA,2008-10-27,45,NAS,18
AS,2008-10-25,45,NAS,1
B6,2008-10-25,45,NAS,15
CO,2008-10-27,45,NAS,18
CO,2008-10-25,45,NAS,12
US,2008-10-27,46,NAS,11
AS,2008-10-25,47,NAS,3
B6,2008-10-25,47,NAS,5
WN,2008-10-27,48,NAS,2
WN,2008-10-27,48,NAS,1
AS,2008-10-25,48,NAS,7
B6,2008-10-25,48,NAS,46
B6,2008-10-26,48,NAS,15
UA,2008-10-25,49,NAS,38
AS,2008-10-26,49,NAS,4
DL,2008-10-25,50,NAS,5
DL,2008-10-27,50,NAS,6
US,2008-10-25,50,NAS,171
CO,2008-10-25,50,NAS,40
FL,2008-10-25,51,NAS,3
FL,2008-10-26,51,NAS,19
US,2008-10-25,51,NAS,54
US,2008-10-27,51,NAS,31
AS,2008-10-26,51,NAS,3
CO,2008-10-27,51,NAS,9
UA,2008-10-27,52,NAS,20
US,2008-10-25,52,NAS,8
AS,2008-10-26,52,NAS,3
AS,2008-10-27,53,NAS,14
B6,2008-10-25,53,NAS,33
B6,2008-10-27,53,NAS,13
FL,2008-10-25,54,NAS,15
WN,2008-10-27,54,NAS,1
FL,2008-10-27,55,NAS,3
UA,2008-10-27,55,NAS,35
B6,2008-10-25,55,NAS,387
FL,2008-10-25,56,NAS,3
FL,2008-10-26,56,NAS,10
FL,2008-10-27,56,NAS,12
UA,2008-10-27,57,NAS,19
US,2008-10-27,57,NAS,5
B6,2008-10-25,57,NAS,22
B6,2008-10-26,57,NAS,8
WN,2008-10-27,58,NAS,4
WN,2008-10-27,58,NAS,6
UA,2008-10-26,58,NAS,37
B6,2008-10-25,58,NAS,108
DL,2008-10-25,59,NAS,7
UA,2008-10-27,59,NAS,20
US,2008-10-27,59,NAS,18
AA,2008-10-26,59,NAS,7
UA,2008-10-25,60,NAS,24
AS,2008-10-25,60,NAS,12
AS,2008-10-26,60,NAS,32
AS,2008-10-27,60,NAS,2
B6,2008-10-25,60,NAS,79
AS,2008-10-25,61,NAS,2
AS,2008-10-25,61,NAS,1
AS,2008-10-26,61,NAS,7
AS,2008-10-25,62,NAS,16
CO,2008-10-25,62,NAS,42
DL,2008-10-27,63,NAS,20
FL,2008-10-27,63,NAS,23
B6,2008-10-25,63,NAS,26
B6,2008-10-27,63,NAS,20
DL,2008-10-27,64,NAS,9
AS,2008-10-25,65,NAS,5
AS,2008-10-25,65,NAS,26
AS,2008-10-26,65,NAS,7
AS,2008-10-26,65,NAS,3
AS,2008-10-26,65,NAS,1
B6,2008-10-25,65,NAS,23
AS,2008-10-26,66,NAS,1
AS,2008-10-26,66,NAS,13
AS,2008-10-26,66,NAS,1
DL,2008-10-27,67,NAS,15
WN,2008-10-27,67,NAS,36
US,2008-10-25,67,NAS,16
B6,2008-10-25,67,NAS,59
B6,2008-10-25,67,NAS,4
UA,2008-10-27,68,NAS,23
B6,2008-10-25,69,NAS,13
DL,2008-10-25,70,NAS,19
US,2008-10-26,70,NAS,11
US,2008-10-27,70,NAS,14
AS,2008-10-25,70,NAS,16
AS,2008-10-25,70,NAS,18
AS,2008-10-26,70,NAS,21
AS,2008-10-27,70,NAS,1
B6,2008-10-25,70,NAS,71
FL,2008-10-25,71,NAS,12
US,2008-10-25,71,NAS,18
US,2008-10-27,71,NAS,16
DL,2008-10-25,72,NAS,15
AS,2008-10-26,72,NAS,35
AS,2008-10-25,73,NAS,20
AS,2008-10-26,73,NAS,83
AS,2008-10-26,73,NAS,49
DL,2008-10-25,74,NAS,27
UA,2008-10-27,74,NAS,25
B6,2008-10-25,74,NAS,373
FL,2008-10-25,75,NAS,20
FL,2008-10-26,75,NAS,6
FL,2008-10-27,75,NAS,2
WN,2008-10-27,75,NAS,19
WN,2008-10-27,75,NAS,3
UA,2008-10-27,75,NAS,71
AS,2008-10-25,75,NAS,36
FL,2008-10-25,76,NAS,7
WN,2008-10-27,76,NAS,12
WN,2008-10-27,76,NAS,12
WN,2008-10-27,76,NAS,23
AA,2008-10-27,76,NAS,18
UA,2008-10-27,77,NAS,38
DL,2008-10-25,78,NAS,90
DL,2008-10-27,78,NAS,23
FL,2008-10-25,78,NAS,12
FL,2008-10-26,78,NAS,25
AS,2008-10-25,79,NAS,15
DL,2008-10-25,80,NAS,37
WN,2008-10-27,80,NAS,12
DL,2008-10-25,81,NAS,27
UA,2008-10-27,81,NAS,4
AS,2008-10-25,81,NAS,23
B6,2008-10-25,81,NAS,31
UA,2008-10-27,83,NAS,6
AS,2008-10-25,83,NAS,46
DL,2008-10-25,84,NAS,26
UA,2008-10-25,84,NAS,125
FL,2008-10-25,85,NAS,4
FL,2008-10-27,85,NAS,15
WN,2008-10-27,85,NAS,5
US,2008-10-27,85,NAS,13
AS,2008-10-25,85,NAS,53
FL,2008-10-25,86,NAS,19
